title,channel_id,description,subscriber_count,view_count,normalized_subscribers,normalized_views
AFES Salud Mental,UCARjMshXNUzZr9a0JQcND7Q,"Nuestra misión es promover las estrategias y el cambio necesario para contribuir a la construcción de un mundo justo en el que las personas con problemas de #SaludMental y familiares puedan tomar de forma consciente y libre las decisiones que afectan a sus vidas, disfrutar de sus derechos y asumir sus responsabilidades igual que el resto de la ciudadanía.",356,27410,0.005953177257525083,0.0019278885287959799
DARR saludmental y bienestar,UC52rchZdFfx7DwhjCcfZj5Q,"Darr es una empresa que se interesa por el abordaje del ser a través de herramientas psicológicas y terapias alternativas para favorecer la salud mental y bienestar. Queremos compartir en nuestro canal de youtube información, conocimiento y tips entorno a la salud mental. ",4,65,6.688963210702341e-05,4.571789652380105e-06
Salud con Estilo y Té,UCoSrHcA39sQgFfQjP-o6DyQ,"El canal de ""Salud y Bienestar"" es una plataforma que se enfoca en proporcionar información y consejos relacionados con la promoción de un estilo de vida saludable y equilibrado. Este canal aborda una amplia gama de temas que abarcan tanto la salud física como la mental, con el objetivo de ayudar a los espectadores a mejorar su bienestar general.

En el canal, puedes encontrar contenido diverso que incluye:

Consejos de Nutrición.

Ejercicio y Fitness.

Salud Mental.

Prevención y Enfermedades.

Bienestar Emocional.

Consejos para un Sueño Saludable.

En resumen, el canal de ""Salud y Bienestar"" se dedica a proporcionar recursos educativos y motivacionales que inspiren a los espectadores a tomar decisiones saludables en su vida cotidiana y a adoptar hábitos que promuevan un bienestar integral.
",1,15,1.6722408026755853e-05,1.0550283813184859e-06
Podcast de Salud Mental ,UCaq5RrKF3iaFZqQ9IK1MSlA,"Soy Elías Arab psiquiatra de niños y adolescentes, 
Mi propósito es contribuir a la #SaludMental de niños y adolescentes, especialmente a lugares donde el acceso es limitado.
En este canal hablamos sobre temas de #SaludMental en las diferentes etapas de la vida, especialmente de niños y adolescentes. Estrategias de detección prevención y manejo general.
Enfasis en la educación, estilos de crianza, situaciones de riesgo y como enfrentar de mejor manera las crisis que se nos presentan.
Entre todos podemos ayudar a mejorar la calidad de vida de las personas y de nuestro entorno.
Quiero me seamos muchos mas los que queramos un mundo mejor.
En equipo es mas fácil y entretenido",110,5661,0.0018394648829431438,0.00039816771110959655
BienEstar Comunidad Terapéutica,UCZ-9ejgdrQgKucxA9qk2rzg,Sin descripción,532,58544,0.008896321070234114,0.004117705437060629
Salud Mental Ahora,UCToaISKEs_LHGT8iva8eG1g,"Bienvenido a Salud Mental Ahora, un espacio dedicado a la búsqueda del bienestar emocional y psicológico. En este canal compartiremos material informativo que esperamos te sirva para procurar tu salud mental.",1,37,1.6722408026755853e-05,2.6024033405855985e-06
Salud Mental y Bienestar,UCfdAJ2_dm5ems8C8LIVwbtw,Sin descripción,13,230,0.0002173913043478261,1.617710184688345e-05
"Salud mental y bienestar, una prioridad global",UCkB1GS-8EO8kuXJU-EI-aZA,"Salud Mental, trastornos de Ansiedad, Duelo, Depresión, Ansiedad en niños y adolescentes, Síndrome de Burnout. ",21,177,0.0003511705685618729,1.2449334899558134e-05
Cibersalud Bienestar Digital,UCw2jtw6z62Y6c_lLTfo7qww,"Canal de la organización Cibersalud, cuya misión es acompañar a profesionales de la salud mental en su transformación digital. Uso de tecnologías para psicoterapia, terapia online, herramientas profesionales y enfoque en los efectos de una sociedad digital.",2960,117660,0.049498327759197325,0.008275642623062202
Salud mental y prevención ,UCuRbIgXETlRePGbkcDVIGzA,Salud y bienestar,325,4815,0.005434782608695652,0.00033866411040323394
Salud Mental y Bienestar Físico,UCepTKUcsNP8JDGaYBWQaH0A,"Canal dedicado al desarrollo y bienestar, tanto físico, como mental. Desarrollo personal a través de consejos útiles para el día a día. Desarrollo físico a través de excelentes consejos de alimentación y desarrollo mental a través de consejos de mindfullness y constante aprendizaje",57,4646,0.0009531772575250837,0.0003267774573070457
Mujer y mamá en bienestar,UCvm76KF2r0_6imOasrHgXFQ,"Un espacio donde te guiamos hacia el bienestar, donde exploramos temas relacionados a mujeres y mamás que quieren sentirse bien y tener un equilibrio para mejorar la  salud mental. Los orientamos para el manejo  y solución de conflictos familiares.",67,12914,0.0011204013377926422,0.0009083091010897951
Bienestar UAO,UC1UQVzaSNFrA0MND-QsFvhw,BienestarUAO es el lugar en donde confluyen la alegría y la amistad; es un punto de encuentro para compartir experiencias y vivir la Universidad de una manera diferente.,29,6029,0.0004849498327759197,0.00042405107406461007
CHIRI ONLINE | Servicio de salud mental,UC0wvlfQgKt94Uao-4GPt86A,"Somos un equipo de profesionales especialistas en Trastornos Mentales Graves (psicólogos, psicoterapeutas y psiquiatras). Brindando un seguimiento continuo y herramientas de autoayuda para mejorar la salud mental de nuestros pacientes.",1,40,1.6722408026755853e-05,2.8134090168492955e-06
Salud mental y bienestar emocional,UCVZi3wMQyCDm8Euc5xYCgbg,"Bienvenido a salud mental y bienestar emocional, tu refugio digital para el bienestar emocional y la salud mental. Aquí encontrarás herramientas prácticas, consejos inspiradores y recursos para fortalecer tu mente y cultivar una vida plena. ¡Acompáñanos en este viaje hacia el equilibrio emocional y descubre el poder transformador del autocuidado! 🌿💖 #BienestarEmocional #SaludMental #Autocuidado""",0,3,0.0,2.1100567626369718e-07
BienestarTU - salud mental y estabilidad emocional,UC3-ymdTKQ4GAzmQeBJVvRGw,"Plataforma educativa sobre Salud Mental, estabilidad y Bienestar Emocional por medio de las herramientas terapéuticas más efectivas para todos a un muy bajo costo.",24,6138,0.0004013377926421405,0.0004317176136355244
Salud Mental y Bienestar,UC5HLkKbw7sk8HooKHs4Dx8Q,Sin descripción,26100,1070953,0.43645484949832775,0.07532572067054509
